Surveyor,Year,Date,Plot Number,Treatment,Quadrat,L1,L2,Absorption,Height,BioMass Alive,Biomass Dead,Bare,Moss,Fescue,Onion Couch,Cocksfoot,Blue Sedge,Luzula campestrus,Lady's Bedstraw,Birdsfoot Trefoil,White Clover,Red Clover,Yarrow,Eyebright,Yellow Rattle,Ribwort Plantain,Autumnalis,Catsear,Sheeps sorrel,Marsh Orchid,Common Milkwort,Kidney Vetch,Ragwort,Buttercup,Holcus molinia,Horsetail,Mayweed,Sea carrot,Sand Sedge,Chickweed,Black Napweed,Wild thyme,Pyramidal Orchid,Wild angellica,Couch grass?,Perrennial Ryegrass,Self heal,Sea Sandwort,Poa sp.,Fairy flax,Crested Hair Grass,Dandilion,Hogweed,Meadowsweet,Sand Couch X Sea Couch
AT,2021,June 2021',1,No Graze,East,886,680,206,5.8,33.63,15.65,0,6,48,0,2,9,1,11,5,1,2,0,3,2,3,5,1,0,0,2,3,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0
AT,2021,June 2021',1,No Graze,West,1446,1016,430,5.2,33.63,15.65,0,15,50,0,2,7,2,17,3,1,0,0,4,2,2,1,2,0,0,3,3,2,1,4,0,0,0,3,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0
AT,2022,June 2022',1,No Graze,North,740,243,497,12.7,25.11,8.34,0,8,86,0,0,3,0,4,6,0,1,0,1,0,3,0,3,0,0,2,2,0,3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0
AT,2022,June 2022',1,No Graze,South,716,117,599,4,25.11,8.34,0,10,61,0,2,12,2,5,6,0,3,1,3,4,4,3,0,0,0,0,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,2022,June 2022',1,No Graze,West,745,366,379,6.8,25.11,8.34,0,31,80,0,2,6,0,8,3,0,0,0,2,3,4,3,3,0,0,2,6,0,2,6,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
AT,2022,June 2022',1,No Graze,East,720,284,436,5,25.11,8.34,0,34,65,0,0,3,0,6,5,0,3,2,3,2,2,4,3,0,0,2,5,0,2,4,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
AT,2019,June 2019',2,No Graze,South,1651,715,936,3.1,12.14,3.03,0,0,50,0,4,15,0,18,4,0,3,0,5,3,16,3,3,0,0,1,4,0,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0
AT,2019,June 2019',2,No Graze,West,2077,1187,890,4.6,12.14,3.03,0,0,40,0,12,4,0,15,3,2,2,3,2,2,8,0,2,0,0,0,0,0,3,2,0,0,2,0,0,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0
AT,2019,June 2019',2,No Graze,North,1913,1597,316,2.7,12.14,3.03,0,0,35,0,10,12,0,9,2,1,2,0,3,5,4,3,2,0,1,1,28,1,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0
AT,2019,June 2019',2,No Graze,East,2147,1633,514,4.7,12.14,3.03,0,3,38,0,3,8,0,20,3,2,4,1,2,0,4,0,2,0,0,1,8,0,4,8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AT,2020,June 2020',2,No Graze,South,1173,365,808,7.7,25.13,2.26,1,3,65,3,0,4,1,5,3,0,2,1,5,1,2,5,3,0,1,1,10,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,10,0,6,0,0,0,0
AT,2020,June 2020',2,No Graze,North,1163,467,696,8.3,25.13,2.26,0,4,45,0,4,5,0,10,3,0,1,2,4,3,4,1,2,0,0,2,25,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0
AT,2020,June 2020',2,No Graze,East,1140,550,590,5.2,25.13,2.26,2,5,70,3,2,5,1,18,2,0,2,1,2,2,2,0,1,0,0,2,2,0,2,3,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,4,0,0,0,0
AT,2020,June 2020',2,No Graze,West,1150,490,660,6.6,25.13,2.26,0,8,70,0,5,5,1,11,4,0,0,2,1,1,2,4,2,0,0,2,4,0,5,2,0,0,0,1,2,5,0,1,0,0,0,0,0,12,0,3,0,0,0,0
AT,2021,June 2021',2,No Graze,South,1517,1632,-115,6.2,12.49,2.57,0,2,79,0,0,2,2,3,3,0,0,0,3,0,2,0,3,0,0,4,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
AT,2021,June 2021',2,No Graze,West,1479,1190,289,8.7,12.49,2.57,0,2,69,0,3,5,2,3,4,2,1,0,2,0,2,0,1,0,0,8,1,0,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,1,0
AT,2021,June 2021',2,No Graze,North,1460,371,1089,11.8,12.49,2.57,0,3,70,0,1,2,1,6,3,0,0,2,1,0,4,2,0,0,0,4,14,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0
AT,2021,June 2021',2,No Graze,East,1642,1426,216,6.4,12.49,2.57,0,5,78,0,0,4,2,10,2,0,0,0,2,2,3,0,0,0,0,2,4,0,3,4,0,1,0,0,0,3,0,0,0,0,0,0,0,8,0,2,0,0,0,0
AT,2022,June 2022',2,No Graze,South,890,205,685,7.4,42.54,21.96,0,3,83,0,0,2,0,3,3,0,3,2,0,0,1,0,3,2,0,0,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AT,2022,June 2022',2,No Graze,North,905,150,755,6.4,42.54,21.96,0,15,82,0,0,3,0,8,4,0,2,0,3,0,1,0,2,0,0,1,5,0,1,11,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2022,June 2022',2,No Graze,West,887,46,841,12.5,42.54,21.96,0,16,92,0,1,1,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AT,2022,June 2022',2,No Graze,East,879,114,765,6.6,42.54,21.96,0,43,77,0,2,4,0,12,3,0,2,0,1,0,0,2,3,0,0,1,7,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2019,June 2019',3,No Graze,North,139,114,25,1.8,37.29,11.49,0,50,70,3,0,0,1,30,0,0,0,0,4,0,4,4,3,1,0,2,10,0,3,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,2019,June 2019',3,No Graze,East,137,114,23,2.7,37.29,11.49,0,50,65,0,0,3,0,15,0,0,0,0,2,1,4,8,2,0,0,1,4,0,3,5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
AT,2019,June 2019',3,No Graze,South,137,105,32,2,37.29,11.49,0,55,60,0,0,3,0,20,0,0,0,0,4,0,4,3,8,0,0,0,12,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AT,2019,June 2019',3,No Graze,West,142,125,17,3.3,37.29,11.49,5,60,65,0,0,6,0,21,8,0,0,0,10,0,8,3,4,2,0,3,10,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2020,June 2020',3,No Graze,North,1074,563,511,5.8,12.76,1.22,2,45,70,3,2,2,2,12,4,0,0,0,3,0,4,4,2,2,0,1,8,0,0,4,0,0,2,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0
AT,2020,June 2020',3,No Graze,South,1125,588,537,4.2,12.76,1.22,0,50,75,2,1,3,1,11,0,0,0,0,1,0,3,3,4,0,0,1,20,0,2,4,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
AT,2020,June 2020',3,No Graze,West,1229,811,418,7.4,12.76,1.22,0,50,60,0,2,4,1,18,2,0,0,0,4,0,2,2,3,0,1,2,15,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
AT,2020,June 2020',3,No Graze,East,1063,529,534,6.4,12.76,1.22,0,50,60,1,2,6,1,25,4,0,0,0,2,0,2,3,2,0,0,2,6,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AT,2021,June 2021',3,No Graze,North,814,486,328,3.4,16.64,1.76,0,35,76,0,0,0,1,6,2,0,0,0,3,0,3,2,2,1,1,2,7,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
AT,2021,June 2021',3,No Graze,East,946,533,413,7.9,16.64,1.76,0,35,64,0,0,0,2,11,0,0,0,0,4,0,3,4,2,0,0,2,4,0,2,11,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
AT,2021,June 2021',3,No Graze,West,664,430,234,6.7,16.64,1.76,0,36,63,0,0,0,2,12,5,0,0,0,5,0,5,3,2,3,1,3,5,0,1,7,0,5,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0
AT,2021,June 2021',3,No Graze,South,935,702,233,5.1,16.64,1.76,0,50,78,0,0,0,2,16,4,0,0,0,1,0,3,2,3,2,0,0,9,0,0,7,0,3,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0
AT,2022,June 2022',3,No Graze,West,888,556,332,2.5,6.48,2.62,0,39,63,0,0,2,1,20,3,0,0,0,0,0,4,5,3,1,1,1,19,0,2,4,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AT,2022,June 2022',3,No Graze,North,887,320,567,4.4,6.48,2.62,3,40,82,0,0,0,1,4,0,0,0,0,2,0,2,8,2,0,1,3,14,0,0,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,2022,June 2022',3,No Graze,South,903,468,435,3.5,6.48,2.62,0,46,82,0,0,0,0,4,0,0,0,0,2,0,2,4,2,2,0,0,21,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AT,2022,June 2022',3,No Graze,East,903,440,463,3.1,6.48,2.62,0,56,82,0,0,0,1,8,0,0,0,0,3,0,2,5,0,0,0,0,5,0,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AT,2019,June 2019',4,No Graze,West,120,77,43,4,10.94,3.53,0,7,20,2,15,10,0,40,7,8,4,0,3,6,35,7,3,1,0,2,0,3,2,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0
AT,2019,June 2019',4,No Graze,North,132,66,66,6.5,10.94,3.53,0,12,30,2,15,8,1,45,5,2,1,2,1,15,30,0,4,0,1,3,5,0,0,5,0,0,3,0,1,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0
AT,2019,June 2019',4,No Graze,South,120,103,17,2,10.94,3.53,1,17,30,2,8,5,0,30,8,8,5,0,10,10,35,4,2,2,0,0,3,0,5,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0
AT,2019,June 2019',4,No Graze,East,125,86,39,4.5,10.94,3.53,0,25,40,1,8,3,0,40,8,2,1,0,10,8,25,10,3,3,0,1,8,3,2,4,0,0,5,0,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0
AT,2020,June 2020',4,No Graze,South,1312,410,902,7.3,51.54,3.4,0,15,45,1,0,7,2,20,4,4,0,0,5,3,10,2,1,0,0,3,25,1,3,4,0,0,0,3,0,2,0,0,0,0,0,0,0,8,3,10,0,0,0,0
AT,2020,June 2020',4,No Graze,West,1375,140,1235,7.1,51.54,3.4,0,25,55,0,0,10,1,22,3,0,3,0,4,3,6,0,2,1,0,2,3,2,2,3,0,0,0,3,2,2,0,0,0,0,0,0,0,10,2,2,0,0,0,0
AT,2020,June 2020',4,No Graze,North,1281,64,1217,7.7,51.54,3.4,0,30,50,2,6,7,1,20,3,3,1,1,2,3,8,2,2,0,0,2,2,2,4,3,0,0,3,3,2,2,0,0,0,0,0,0,0,10,0,2,0,0,0,0
AT,2020,June 2020',4,No Graze,East,1259,338,921,6.9,51.54,3.4,0,30,60,1,5,7,1,25,3,3,2,0,2,3,8,3,3,1,0,2,2,2,2,4,0,0,1,2,2,2,0,0,0,0,0,0,0,8,2,3,0,0,0,0
AT,2021,June 2021',4,No Graze,South,973,205,768,11.9,31.16,8.2,0,0,77,4,0,3,1,9,3,5,2,0,2,2,7,2,0,1,0,1,18,0,3,8,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,1,0,0,0,0
AT,2021,June 2021',4,No Graze,West,1635,524,1111,8.3,31.16,8.2,0,3,73,0,0,3,1,7,3,2,2,0,0,3,5,2,0,3,0,2,3,3,2,4,1,2,0,3,0,1,0,0,0,0,3,0,0,9,0,5,2,0,0,0
AT,2021,June 2021',4,No Graze,East,923,152,771,14.6,31.16,8.2,0,3,73,0,1,5,1,10,3,1,3,2,0,0,6,0,0,1,0,2,3,3,2,4,0,2,0,3,1,2,0,0,0,0,2,0,0,4,0,1,2,0,0,0
AT,2021,June 2021',4,No Graze,North,1250,285,965,13.6,31.16,8.2,0,10,81,0,2,4,2,12,2,1,0,2,0,1,7,3,0,2,0,2,3,0,3,3,0,2,0,3,1,3,0,0,0,0,4,0,0,6,0,2,2,0,0,0
AT,2022,June 2022',4,No Graze,South,894,58,836,13.6,37.15,21.62,0,0,92,0,0,0,0,8,7,2,1,0,0,0,8,3,0,0,0,1,2,1,2,4,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0
AT,2022,June 2022',4,No Graze,West,887,5,882,5.9,37.15,21.62,0,12,88,0,3,0,2,7,2,0,2,0,0,1,4,0,0,0,0,3,0,0,1,9,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
AT,2022,June 2022',4,No Graze,East,898,13,885,7.8,37.15,21.62,0,22,82,0,3,3,0,16,1,0,0,0,1,1,8,1,0,0,0,0,0,0,2,3,0,0,2,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AT,2022,June 2022',4,No Graze,North,893,206,687,12.1,37.15,21.62,0,52,64,5,1,3,0,12,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,3,0,0,4,3,1,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0
AT,2019,June 2019',5,No Graze,West,82,13,69,7,44.77,29.87,0,0,70,10,30,3,0,22,5,2,2,0,0,2,12,0,2,0,0,0,0,0,0,6,0,0,3,0,2,0,0,0,0,0,8,0,0,8,0,1,2,0,0,0
AT,2019,June 2019',5,No Graze,North,95,28,67,7.1,44.77,29.87,0,0,70,12,20,0,0,30,4,5,3,0,0,3,7,0,0,0,0,0,0,0,0,10,0,0,7,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,0,0
AT,2019,June 2019',5,No Graze,East,90,58,32,4,44.77,29.87,0,5,70,5,8,2,0,30,7,1,2,0,0,2,4,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0
AT,2019,June 2019',5,No Graze,South,101,37,64,3,44.77,29.87,0,25,70,4,20,4,0,20,4,4,3,0,1,1,8,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0
AT,2020,June 2020',5,No Graze,South,1228,231,997,11,40.28,78.54,0,40,75,8,6,6,1,18,4,1,0,0,2,0,4,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0
AT,2020,June 2020',5,No Graze,West,1190,136,1054,13.7,40.28,78.54,0,40,70,8,10,4,1,7,6,2,0,0,2,3,10,0,0,1,0,1,0,0,2,10,0,0,2,3,0,0,0,0,0,0,6,0,0,7,0,0,2,0,0,0
AT,2020,June 2020',5,No Graze,East,1271,11,1260,11,40.28,78.54,0,40,80,5,4,6,0,12,3,2,0,1,2,0,6,4,0,0,0,0,0,1,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
AT,2020,June 2020',5,No Graze,North,1227,45,1182,9.3,40.28,78.54,0,45,75,6,10,3,0,22,5,4,2,0,2,1,3,0,0,0,0,0,0,0,3,8,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,2,0,0,0,0
AT,2021,June 2021',5,No Graze,South,1670,12,1658,17.6,22.85,21.89,0,0,86,2,2,2,1,1,3,1,2,0,0,0,2,0,0,1,0,0,4,0,3,9,0,2,0,2,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
AT,2021,June 2021',5,No Graze,West,1742,456,1286,19,22.85,21.89,0,0,92,3,5,3,2,2,3,1,0,0,0,0,4,0,0,2,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0
AT,2021,June 2021',5,No Graze,North,1732,212,1520,11.2,22.85,21.89,0,0,94,3,3,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AT,2021,June 2021',5,No Graze,East,1568,1112,456,8.4,22.85,21.89,0,0,83,4,5,2,1,2,1,1,2,0,0,0,2,0,0,1,0,0,0,0,3,12,0,0,0,2,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0
AT,2022,June 2022',5,No Graze,South,860,7,853,10,33.5,62.86,0,2,74,0,5,0,0,9,3,0,6,0,0,0,3,0,0,2,0,0,3,0,1,3,0,0,2,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
AT,2022,June 2022',5,No Graze,West,855,37,818,7.7,33.5,62.86,0,3,69,0,13,2,0,3,4,0,0,0,0,0,3,1,0,0,0,0,0,0,1,4,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AT,2022,June 2022',5,No Graze,North,833,31,802,12,33.5,62.86,0,3,80,0,18,2,0,5,0,0,4,0,0,0,7,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
AT,2022,June 2022',5,No Graze,East,831,13,818,8.4,33.5,62.86,0,8,74,0,5,0,0,11,3,0,1,0,0,0,4,0,0,0,0,0,0,0,2,23,0,0,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2019,June 2019',6,No Graze,West,1092,386,706,9.3,11.31,3.53,0,0,12,70,25,0,0,8,2,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
AT,2019,June 2019',6,No Graze,North,1566,164,1402,9,11.31,3.53,0,0,45,25,25,6,0,20,5,1,3,0,0,12,8,0,0,6,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AT,2019,June 2019',6,No Graze,East,1578,292,1286,10.1,11.31,3.53,4,8,40,12,45,8,0,20,6,0,12,1,1,4,5,0,0,10,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2019,June 2019',6,No Graze,South,2128,604,1524,4.1,11.31,3.53,2,20,50,12,8,10,1,5,3,0,0,0,0,1,6,15,0,6,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2020,June 2020',6,No Graze,West,1090,13,1077,16.6,36.61,32.21,0,0,30,30,50,2,0,6,4,0,0,0,0,1,4,1,0,1,0,0,0,0,0,5,0,0,2,2,2,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0
AT,2020,June 2020',6,No Graze,North,1102,3,1099,8.9,36.61,32.21,0,0,60,20,4,2,3,12,6,1,5,0,0,2,5,0,0,2,0,0,0,0,0,10,0,0,2,3,2,0,0,0,0,0,0,1,0,8,0,0,0,0,3,0
AT,2020,June 2020',6,No Graze,East,1118,26,1092,7.8,36.61,32.21,0,0,70,18,6,2,1,18,4,1,0,0,0,0,1,6,0,2,0,0,0,0,0,4,0,0,2,2,0,0,0,1,0,1,0,0,0,15,0,0,2,0,0,0
AT,2020,June 2020',6,No Graze,South,1044,369,675,8.8,36.61,32.21,0,20,75,8,0,4,2,20,3,3,2,0,0,0,4,4,2,1,0,1,0,0,3,6,0,0,0,3,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
AT,2021,June 2021',6,No Graze,South,1245,459,786,12.8,39.43,42.91,0,0,90,2,4,0,1,2,3,0,3,0,0,0,2,3,0,1,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0
AT,2021,June 2021',6,No Graze,West,1731,272,1459,14,39.43,42.91,0,0,84,1,1,0,1,2,3,0,0,0,0,0,3,2,0,3,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,21,0,2,3,0,0,0
AT,2021,June 2021',6,No Graze,North,1940,0,1940,14.9,39.43,42.91,0,0,82,4,2,0,1,2,4,1,3,0,0,0,2,0,0,1,0,1,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0
AT,2021,June 2021',6,No Graze,East,2168,134,2034,19.5,39.43,42.91,0,0,79,3,6,2,1,1,1,2,5,2,0,0,2,0,0,2,0,1,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,0,0,10,0,1,2,0,0,0
AT,2022,June 2022',6,No Graze,South,920,38,882,9.9,40.92,57.02,0,0,86,5,0,2,1,8,9,0,4,0,0,0,6,0,0,1,0,0,0,0,2,3,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,2022,June 2022',6,No Graze,East,931,221,710,10.8,40.92,57.02,0,0,69,0,24,4,0,6,2,0,4,1,0,0,3,0,0,1,0,0,0,0,3,7,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
AT,2022,June 2022',6,No Graze,North,921,74,847,10.9,40.92,57.02,0,3,75,0,4,1,0,8,6,0,2,0,0,0,3,0,0,3,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
AT,2022,June 2022',6,No Graze,West,929,5,924,9.1,40.92,57.02,0,9,87,0,13,0,0,5,3,0,0,0,0,1,3,0,0,3,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AT,2019,June 2019',7,No Graze,South,136,128,8,3,14.97,6.55,15,6,50,0,0,15,1,8,0,0,0,2,1,0,10,6,8,2,0,2,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
AT,2019,June 2019',7,No Graze,West,112,90,22,3.3,14.97,6.55,2,11,60,5,0,4,1,18,2,0,0,3,4,3,3,6,5,1,0,1,10,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
AT,2019,June 2019',7,No Graze,East,94,73,21,6,14.97,6.55,5,11,55,10,0,6,0,20,4,0,3,0,5,4,4,4,3,1,0,1,8,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0
AT,2019,June 2019',7,No Graze,North,101,81,20,6,14.97,6.55,0,12,55,30,0,8,2,10,4,0,0,0,3,2,2,12,6,1,0,0,5,3,3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
AT,2020,June 2020',7,No Graze,North,1307,144,1163,5.9,30.78,14.08,0,6,65,10,0,7,2,8,6,0,0,0,2,2,5,5,6,1,0,0,10,2,3,2,0,0,2,4,1,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0
AT,2020,June 2020',7,No Graze,East,1395,274,1121,5.3,30.78,14.08,0,6,65,3,0,8,1,22,4,0,0,0,1,1,3,6,5,0,0,2,12,0,3,6,0,0,2,4,2,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0
AT,2020,June 2020',7,No Graze,South,1245,474,771,4.6,30.78,14.08,2,15,45,2,0,7,2,10,0,0,0,2,1,1,5,3,7,0,0,1,5,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,14,2,2,0,0,0,0
AT,2020,June 2020',7,No Graze,West,1471,1067,404,7.7,30.78,14.08,2,25,55,4,0,3,2,16,3,0,0,0,3,1,3,10,4,1,0,2,7,0,5,2,0,0,3,2,1,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0
